"Index","Open","High","Low","Close","Volume","Adjusted"
2018-04-26,1485.01001,1529.420044,1478.5,1517.959961,8801100,1517.959961
2018-04-27,1634.01001,1638.099976,1567.390015,1572.619995,13053200,1572.619995
2018-04-30,1582.5,1596,1560.939941,1566.130005,5464100,1566.130005
2018-05-01,1563.219971,1585,1552.180054,1582.26001,4572100,1582.26001
2018-05-02,1580.97998,1588.5,1566.359985,1569.680054,4360300,1569.680054
2018-05-03,1560.01001,1574.800049,1546.02002,1572.079956,4251900,1572.079956
2018-05-04,1562.449951,1584.900024,1562.189941,1580.949951,3443600,1580.949951
2018-05-07,1589.339966,1606.949951,1587.829956,1600.140015,3801900,1600.140015
2018-05-08,1595,1596.880005,1582.51001,1592.390015,3067900,1592.390015
2018-05-09,1600,1608,1592,1608,3637300,1608
2018-05-10,1608.47998,1615.599976,1603.439941,1609.079956,2817500,1609.079956
2018-05-11,1610.98999,1611.099976,1597.890015,1602.910034,2263900,1602.910034
2018-05-14,1604,1611.180054,1600.050049,1601.540039,2509500,1601.540039
2018-05-15,1587.800049,1587.800049,1565.219971,1576.119995,5077500,1576.119995
2018-05-16,1577.5,1594.430054,1576.670044,1587.280029,2570600,1587.280029
2018-05-17,1580.560059,1594.040039,1573,1581.76001,2147600,1581.76001
2018-05-18,1581.329956,1583.589966,1572.099976,1574.369995,2642600,1574.369995
2018-05-21,1585,1592.050049,1575,1585.459961,2925200,1585.459961
2018-05-22,1589.890015,1589.890015,1575.25,1581.400024,2115600,1581.400024
2018-05-23,1571.050049,1601.859985,1566.339966,1601.859985,3299800,1601.859985
2018-05-24,1598.030029,1608.23999,1588.380005,1603.069946,3430000,1603.069946
2018-05-25,1603,1614.119995,1600.449951,1610.150024,2698400,1610.150024
2018-05-29,1600.709961,1621.790039,1600.150024,1612.869995,3846500,1612.869995
2018-05-30,1618.099976,1626,1612.930054,1624.890015,2907400,1624.890015
2018-05-31,1623,1635,1621.349976,1629.619995,3166300,1629.619995
2018-06-01,1637.030029,1646.72998,1635.089966,1641.540039,3313400,1641.540039
2018-06-04,1648.900024,1665.680054,1645.48999,1665.27002,3187700,1665.27002
2018-06-05,1672.98999,1699,1670.060059,1696.349976,4782200,1696.349976
2018-06-06,1704.51001,1714.5,1686.469971,1695.75,5473200,1695.75
2018-06-07,1698.560059,1699.900024,1676.109985,1689.300049,3765700,1689.300049
2018-06-08,1681.119995,1689.439941,1673.01001,1683.98999,2955100,1683.98999
2018-06-11,1681.51001,1694.23999,1680.589966,1689.119995,2335500,1689.119995
2018-06-12,1693,1699.51001,1691.52002,1698.75,2259200,1698.75
2018-06-13,1702.810059,1713.75,1700.119995,1704.859985,3327500,1704.859985
2018-06-14,1713.47998,1724.800049,1708.869995,1723.859985,3174400,1723.859985
2018-06-15,1714,1720.869995,1708.52002,1715.969971,4777600,1715.969971
2018-06-18,1706.26001,1726.73999,1702.560059,1723.790039,3107700,1723.790039
2018-06-19,1709.040039,1736.109985,1700.390015,1734.780029,4290100,1734.780029
2018-06-20,1742.5,1762.930054,1741.359985,1750.079956,4332600,1750.079956
2018-06-21,1760,1763.099976,1717.560059,1730.219971,4941100,1730.219971
2018-06-22,1742.619995,1743,1711.900024,1715.670044,4075100,1715.670044
2018-06-25,1702.51001,1705,1646.310059,1663.150024,7511200,1663.150024
2018-06-26,1672.369995,1701.569946,1663.339966,1691.089966,4386600,1691.089966
2018-06-27,1708.109985,1711.949951,1660,1660.51001,4872200,1660.51001
2018-06-28,1672.540039,1705.5,1661.170044,1701.449951,4529700,1701.449951
2018-06-29,1717,1723.410034,1694.319946,1699.800049,4543500,1699.800049
2018-07-02,1682.699951,1713.890015,1678.060059,1713.780029,3185700,1713.780029
2018-07-03,1723.959961,1725,1692.47998,1693.959961,2177300,1693.959961
2018-07-05,1705.380005,1710.689941,1682.150024,1699.72998,2983100,1699.72998
2018-07-06,1696,1715.27002,1691.670044,1710.630005,2650300,1710.630005
2018-07-09,1724.050049,1739.560059,1716.22998,1739.02002,3012000,1739.02002
2018-07-10,1738.530029,1750,1731,1743.069946,3002900,1743.069946
2018-07-11,1737.98999,1756.959961,1734,1755,3209800,1755
2018-07-12,1764.51001,1798,1762.180054,1796.619995,4532700,1796.619995
2018-07-13,1803.930054,1815.300049,1795.22998,1813.030029,4383200,1813.030029
2018-07-16,1821.949951,1841.949951,1814.449951,1822.48999,5466200,1822.48999
2018-07-17,1811.560059,1851.689941,1797.380005,1843.930054,5682900,1843.930054
2018-07-18,1848,1858.880005,1831.27002,1842.920044,4861900,1842.920044
2018-07-19,1829.459961,1841,1811.27002,1812.969971,4676900,1812.969971
2018-07-20,1825.01001,1834.839966,1810.060059,1813.699951,3884400,1813.699951
2018-07-23,1812.209961,1819,1769.98999,1802,3888500,1802
2018-07-24,1829.01001,1840,1809.380005,1829.23999,4278700,1829.23999
2018-07-25,1829.300049,1863.839966,1822.640015,1863.609985,3738200,1863.609985
2018-07-26,1839,1844.680054,1804.5,1808,9924400,1808
2018-07-27,1876.050049,1880.050049,1806.530029,1817.27002,9681000,1817.27002
2018-07-30,1827.329956,1829.5,1766.02002,1779.219971,6562300,1779.219971
2018-07-31,1786.48999,1801.829956,1739.319946,1777.439941,5738700,1777.439941
2018-08-01,1784,1798.439941,1776.02002,1797.170044,4153100,1797.170044
2018-08-02,1788.77002,1836.560059,1786,1834.329956,4354700,1834.329956
2018-08-03,1837.73999,1841,1821.5,1823.290039,3460500,1823.290039
2018-08-06,1825.810059,1847.77002,1818.920044,1847.75,3391800,1847.75
2018-08-07,1854.530029,1869.719971,1846.27002,1862.47998,3377500,1862.47998
2018-08-08,1861,1891.51001,1854.5,1886.52002,3963000,1886.52002
2018-08-09,1882,1914.569946,1877.47998,1898.52002,4849900,1898.52002
2018-08-10,1888.51001,1899.5,1878.209961,1886.300049,3639900,1886.300049
2018-08-13,1898.5,1925,1893.670044,1896.199951,5512600,1896.199951
2018-08-14,1919.390015,1921.01001,1900,1919.650024,3986100,1919.650024
2018-08-15,1909.550049,1916.209961,1869.790039,1882.619995,7700700,1882.619995
2018-08-16,1903.939941,1905,1883.550049,1886.52002,3957100,1886.52002
2018-08-17,1885.800049,1888,1855.550049,1882.219971,4104300,1882.219971
2018-08-20,1890.569946,1891.75,1866.060059,1876.709961,2862000,1876.709961
2018-08-21,1880,1897.75,1874.410034,1883.420044,3105600,1883.420044
2018-08-22,1876.640015,1905.800049,1876.640015,1904.900024,3080500,1904.900024
2018-08-23,1907.170044,1919.5,1900.76001,1902.900024,3563000,1902.900024
2018-08-24,1910.51001,1916.01001,1902.540039,1905.390015,2800900,1905.390015
2018-08-27,1915,1927.699951,1909.280029,1927.680054,3569000,1927.680054
2018-08-28,1937.72998,1941.780029,1928.819946,1932.819946,3100700,1932.819946
2018-08-29,1953.449951,1998.689941,1948.939941,1998.099976,6531800,1998.099976
2018-08-30,1997.420044,2025.569946,1986.900024,2002.380005,7277300,2002.380005
2018-08-31,2007,2022.380005,2004.73999,2012.709961,4204400,2012.709961
2018-09-04,2026.5,2050.5,2013,2039.51001,5721100,2039.51001
2018-09-05,2038.109985,2040.380005,1989.890015,1994.819946,8220600,1994.819946
2018-09-06,2006.51001,2007.5,1935.209961,1958.310059,7488700,1958.310059
2018-09-07,1938.709961,1975.199951,1937.349976,1952.069946,4892600,1952.069946
2018-09-10,1971,1973.040039,1931.52002,1939.01001,4544800,1939.01001
2018-09-11,1928.27002,1988.880005,1917,1987.150024,5033600,1987.150024
2018-09-12,1994,2000,1962.439941,1990,4414000,1990
2018-09-13,2000,2008.76001,1982.030029,1989.869995,3621500,1989.869995
2018-09-14,1992.930054,1993.650024,1959.219971,1970.189941,3642000,1970.189941
2018-09-17,1954.72998,1956.819946,1887.410034,1908.030029,7050200,1908.030029
2018-09-18,1918.650024,1958.199951,1915.439941,1941.050049,4268700,1941.050049
2018-09-19,1940.5,1940.829956,1904.900024,1926.420044,4056800,1926.420044
2018-09-20,1938.579956,1955,1932.25,1944.300049,3154900,1944.300049
2018-09-21,1954.219971,1957.310059,1910.5,1915.01001,6855900,1915.01001
2018-09-24,1903.790039,1936.880005,1865,1934.359985,4213700,1934.359985
2018-09-25,1942.900024,1975.910034,1938.849976,1974.550049,4538400,1974.550049
2018-09-26,1968.5,1995.25,1961.52002,1974.849976,4313500,1974.849976
2018-09-27,1993.23999,2016.160034,1988.579956,2012.97998,4329400,2012.97998
2018-09-28,2004.410034,2026.52002,1996.459961,2003,4085100,2003
2018-10-01,2021.98999,2033.189941,2003.599976,2004.359985,3460500,2004.359985
2018-10-02,1999.98999,2013.390015,1965.77002,1971.310059,5400700,1971.310059
2018-10-03,1981.699951,1989.699951,1949.810059,1952.76001,5253100,1952.76001
2018-10-04,1949,1956,1896.569946,1909.420044,7257000,1909.420044
2018-10-05,1917.98999,1929.079956,1862.829956,1889.650024,6822300,1889.650024
2018-10-08,1874,1902,1830.660034,1864.420044,7393200,1864.420044
2018-10-09,1859.98999,1896.680054,1852.319946,1870.319946,4772900,1870.319946
2018-10-10,1857.890015,1858.560059,1754.410034,1755.25,10988900,1755.25
2018-10-11,1724,1755.400024,1685.099976,1719.359985,13935900,1719.359985
2018-10-12,1808,1808.949951,1742.530029,1788.609985,9444600,1788.609985
2018-10-15,1795,1795.050049,1734.22998,1760.949951,6437200,1760.949951
2018-10-16,1783.5,1823.880005,1761.550049,1819.959961,5859900,1819.959961
2018-10-17,1842.790039,1845,1807,1831.72998,5295200,1831.72998
2018-10-18,1821.48999,1830.150024,1767.869995,1770.719971,5874000,1770.719971
2018-10-19,1785.160034,1809.099976,1753,1764.030029,5907200,1764.030029
2018-10-22,1784,1809.5,1756,1789.300049,4500000,1789.300049
2018-10-23,1742.23999,1776.339966,1714,1768.699951,6723900,1768.699951
2018-10-24,1773.699951,1777.709961,1656.560059,1664.199951,6928400,1664.199951
2018-10-25,1703.339966,1794.810059,1692.01001,1782.170044,10285700,1782.170044
2018-10-26,1649.589966,1698.459961,1603,1642.810059,14963800,1642.810059
2018-10-29,1660,1665.73999,1495,1538.880005,13866100,1538.880005
2018-10-30,1486.160034,1540.98999,1476.359985,1530.420044,12460100,1530.420044
2018-10-31,1569.98999,1623.910034,1565.089966,1598.01001,9390200,1598.01001
2018-11-01,1623.530029,1670.449951,1598.439941,1665.530029,8135500,1665.530029
2018-11-02,1678.589966,1697.439941,1651.829956,1665.530029,6955500,1665.530029
2018-11-05,1657.569946,1658.089966,1596.359985,1627.800049,5624700,1627.800049
2018-11-06,1618.349976,1665,1614.550049,1642.810059,4257400,1642.810059
2018-11-07,1673,1759.22998,1664.079956,1755.48999,8192200,1755.48999
2018-11-08,1755,1784,1725.109985,1754.910034,6534900,1754.910034
2018-11-09,1732.5,1743.920044,1701.869995,1712.430054,5902200,1712.430054
2018-11-12,1698.23999,1708.550049,1630.01001,1636.849976,6806200,1636.849976
2018-11-13,1649.290039,1677.060059,1613.75,1631.170044,5933300,1631.170044
2018-11-14,1656.319946,1673,1597.069946,1599.01001,6486900,1599.01001
2018-11-15,1581.01001,1624.819946,1546.51001,1619.439941,8427300,1619.439941
2018-11-16,1587.5,1614.47998,1573.119995,1593.410034,6066100,1593.410034
2018-11-19,1577.01001,1581.189941,1503.359985,1512.290039,7790000,1512.290039
2018-11-20,1437.5,1534.75,1420,1495.459961,10878800,1495.459961
2018-11-21,1542.98999,1550,1515,1516.72998,5716800,1516.72998
2018-11-23,1517,1536.199951,1501.810059,1502.060059,2707600,1502.060059
2018-11-26,1539,1584.810059,1524.219971,1581.329956,6257700,1581.329956
2018-11-27,1575.98999,1597.650024,1558.01001,1581.420044,5783200,1581.420044
2018-11-28,1613.920044,1681.449951,1601.219971,1677.75,8458700,1677.75
2018-11-29,1674.98999,1689.98999,1652.329956,1673.569946,6613200,1673.569946
2018-11-30,1679.5,1696,1666.5,1690.170044,5761800,1690.170044
2018-12-03,1769.459961,1778.339966,1730,1772.359985,6862300,1772.359985
2018-12-04,1756,1770.339966,1665,1668.400024,8694500,1668.400024
2018-12-06,1614.869995,1701.050049,1609.849976,1699.189941,8789400,1699.189941
2018-12-07,1705.069946,1718.930054,1625.459961,1629.130005,7576100,1629.130005
2018-12-10,1623.839966,1657.98999,1590.869995,1641.030029,7494800,1641.030029
2018-12-11,1678,1679.469971,1619.599976,1643.23999,6244700,1643.23999
2018-12-12,1669,1704.98999,1660.27002,1663.540039,6598000,1663.540039
2018-12-13,1680,1692.119995,1641.5,1658.380005,5271300,1658.380005
2018-12-14,1638,1642.569946,1585,1591.910034,6367200,1591.910034
2018-12-17,1566,1576.130005,1505.01001,1520.910034,8829800,1520.910034
2018-12-18,1540,1567.550049,1523.01001,1551.47998,6523000,1551.47998
2018-12-19,1543.050049,1584.530029,1483.180054,1495.079956,8792200,1495.079956
2018-12-20,1484,1509.5,1432.689941,1460.829956,9991800,1460.829956
2018-12-21,1464.98999,1480,1363.959961,1377.449951,13640300,1377.449951
2018-12-24,1346,1396.030029,1307,1343.959961,7220000,1343.959961
2018-12-26,1368.890015,1473.160034,1363.01001,1470.900024,10411800,1470.900024
2018-12-27,1454.199951,1469,1390.310059,1461.640015,9722000,1461.640015
2018-12-28,1473.349976,1513.469971,1449,1478.02002,8829000,1478.02002
2018-12-31,1510.800049,1520.76001,1487,1501.969971,6954500,1501.969971
2019-01-02,1465.199951,1553.359985,1460.930054,1539.130005,7983100,1539.130005
2019-01-03,1520.01001,1538,1497.109985,1500.280029,6975600,1500.280029
2019-01-04,1530,1594,1518.310059,1575.390015,9182600,1575.390015
2019-01-07,1602.310059,1634.560059,1589.189941,1629.51001,7993200,1629.51001
2019-01-08,1664.689941,1676.609985,1616.609985,1656.579956,8881400,1656.579956
2019-01-09,1652.97998,1667.800049,1641.400024,1659.420044,6348800,1659.420044
2019-01-10,1641.01001,1663.25,1621.619995,1656.219971,6507700,1656.219971
2019-01-11,1640.550049,1660.290039,1636.219971,1640.560059,4686200,1640.560059
2019-01-14,1615,1648.199951,1595.150024,1617.209961,6005900,1617.209961
2019-01-15,1632,1675.160034,1626.01001,1674.560059,5998500,1674.560059
2019-01-16,1684.219971,1705,1675.880005,1683.780029,6366900,1683.780029
2019-01-17,1680,1700.170044,1677.5,1693.219971,4208900,1693.219971
2019-01-18,1712,1716.199951,1691.540039,1696.199951,6020500,1696.199951
2019-01-22,1681,1681.869995,1610.199951,1632.170044,6416800,1632.170044
2019-01-23,1656,1657.430054,1612,1640.02002,5225200,1640.02002
2019-01-24,1641.069946,1657.26001,1631.780029,1654.930054,4089900,1654.930054
2019-01-25,1670.5,1683.47998,1661.609985,1670.569946,4945900,1670.569946
2019-01-28,1643.589966,1645,1614.089966,1637.890015,4837700,1637.890015
2019-01-29,1631.27002,1632.380005,1590.719971,1593.880005,4632800,1593.880005
2019-01-30,1623,1676.949951,1619.680054,1670.430054,5783800,1670.430054
2019-01-31,1692.849976,1736.410034,1679.079956,1718.72998,10910300,1718.72998
2019-02-01,1638.880005,1673.060059,1622.01001,1626.22998,11506200,1626.22998
2019-02-04,1623,1649.630005,1613.5,1633.310059,4929100,1633.310059
2019-02-05,1643.339966,1665.26001,1642.5,1658.810059,4453100,1658.810059
2019-02-06,1670.75,1672.26001,1633.339966,1640.26001,3939900,1640.26001
2019-02-07,1625,1625.540039,1592.910034,1614.369995,4626600,1614.369995
2019-02-08,1586,1588.589966,1566.76001,1588.219971,5657500,1588.219971
2019-02-11,1600.97998,1609.290039,1586,1591,3317300,1591
2019-02-12,1604,1639.400024,1598.880005,1638.01001,4858600,1638.01001
2019-02-13,1647,1656.380005,1637.109985,1640,3560300,1640
2019-02-14,1624.5,1637.900024,1606.060059,1622.650024,4120500,1622.650024
2019-02-15,1627.859985,1628.910034,1604.5,1607.949951,4343900,1607.949951
2019-02-19,1601,1634,1600.560059,1627.579956,3681700,1627.579956
2019-02-20,1630,1634.930054,1610.119995,1622.099976,3337600,1622.099976
2019-02-21,1619.849976,1623.560059,1600.910034,1619.439941,3483400,1619.439941
2019-02-22,1623.5,1634.939941,1621.170044,1631.560059,3096200,1631.560059
2019-02-25,1641.449951,1654.599976,1630.390015,1633,3184500,1633
2019-02-26,1625.97998,1639.98999,1616.130005,1636.400024,2665800,1636.400024
2019-02-27,1628.180054,1641.810059,1615.099976,1641.089966,3148800,1641.089966
2019-02-28,1635.25,1651.77002,1633.829956,1639.829956,3025900,1639.829956
2019-03-01,1655.130005,1674.26001,1651,1671.72998,4974900,1671.72998
2019-03-04,1685,1709.430054,1674.359985,1696.170044,6167400,1696.170044
2019-03-05,1702.949951,1707.800049,1689.01001,1692.430054,3681500,1692.430054
2019-03-06,1695.969971,1697.75,1668.280029,1668.949951,3996000,1668.949951
2019-03-07,1667.369995,1669.75,1620.51001,1625.949951,4957000,1625.949951
2019-03-08,1604.01001,1622.719971,1586.569946,1620.800049,4667000,1620.800049
2019-03-11,1626.119995,1672.290039,1626.01001,1670.619995,3876400,1670.619995
2019-03-12,1669,1684.27002,1660.97998,1673.099976,3614500,1673.099976
2019-03-13,1683,1700,1679.349976,1690.810059,3552000,1690.810059
2019-03-14,1691.199951,1702,1684.339966,1686.219971,2946600,1686.219971
2019-03-15,1703,1718.800049,1693.130005,1712.359985,7550900,1712.359985
2019-03-18,1712.699951,1750,1712.630005,1742.150024,5429100,1742.150024
2019-03-19,1753.51001,1784.160034,1753.51001,1761.849976,6364200,1761.849976
2019-03-20,1769.939941,1799.5,1767.030029,1797.27002,6265600,1797.27002
2019-03-21,1796.26001,1823.75,1787.280029,1819.26001,5767800,1819.26001
2019-03-22,1810.170044,1818.97998,1763.109985,1764.77002,6363000,1764.77002
2019-03-25,1757.790039,1782.680054,1747.5,1774.26001,5103800,1774.26001
2019-03-26,1793,1805.77002,1773.359985,1783.76001,4838400,1783.76001
